id,funding_round_id,funded_object_id,investor_object_id,,
562,329,c:40,f:37,,
563,330,c:404,f:4,,
564,330,c:404,f:48,,
565,331,c:95,f:243,,
566,331,c:95,f:99,,
567,331,c:95,f:439,,
568,331,c:95,f:438,,
569,332,c:407,f:244,,
570,333,c:129,f:111,,
571,333,c:129,f:95,,
572,334,c:450,f:443,,
573,336,c:410,f:42,,
574,336,c:410,f:102,,
575,337,c:410,f:42,,
576,337,c:410,f:102,,
577,338,c:410,f:42,,
578,339,c:410,f:173,,
579,340,c:203,f:145,,
580,340,c:203,f:144,,
581,341,c:420,f:245,,
582,341,c:420,f:166,,
583,341,c:420,f:17,,
584,342,c:420,f:166,,
585,342,c:420,f:17,,
586,343,c:141,f:29,,
587,343,c:141,f:1396,,
588,344,c:141,f:24,,
589,344,c:141,f:29,,
590,344,c:141,f:1396,,
591,345,c:416,f:295,,
592,345,c:416,f:10,,
593,346,c:416,f:333,,
594,346,c:416,f:295,,
595,346,c:416,f:160,,
596,346,c:416,f:10,,
597,347,c:130,f:180,,
598,347,c:130,f:214,,
599,347,c:130,f:34,,
600,348,c:130,f:34,,
601,348,c:130,f:180,,
602,349,c:432,f:247,,
603,349,c:432,f:192,,
604,351,c:434,f:248,,
605,351,c:434,f:80,,
606,354,c:445,f:24,,
607,354,c:445,f:392,,
608,355,c:445,f:24,,
609,356,c:446,f:96,,
610,356,c:446,f:446,,
611,356,c:446,f:4850,,
612,357,c:450,f:4,,
613,357,c:450,f:443,,
614,358,c:429,f:134,,
615,358,c:429,f:249,,
616,358,c:429,f:13,,
617,359,c:429,f:134,,
618,359,c:429,f:13,,
619,360,c:429,f:690,,
620,360,c:429,f:1287,,
621,362,c:453,f:1,,
622,375,c:471,f:663,,
623,379,c:477,f:252,,
624,379,c:477,f:251,,
625,381,c:59,f:41,,
626,381,c:59,f:17,,
627,382,c:505,f:7,,
628,382,c:505,f:180,,
629,385,c:496,f:30,,
630,386,c:404,f:4,,
631,386,c:404,f:48,,
632,386,c:404,f:262,,
633,386,c:404,f:123,,
634,387,c:401,f:42,,
635,388,c:513,f:7,,
636,388,c:513,f:147,,
637,389,c:515,f:241,,
638,396,c:519,f:214,,
639,397,c:518,f:41,,
640,397,c:518,f:17,,
641,398,c:107,f:77,,
642,398,c:107,f:79,,
643,398,c:107,f:80,,
644,399,c:520,f:137,,
645,399,c:520,f:37,,
646,400,c:520,f:137,,
647,400,c:520,f:37,,
648,401,c:521,f:263,,
649,401,c:521,f:127,,
650,402,c:163,f:17,,
651,404,c:522,f:191,,
652,405,c:523,f:25,,
653,407,c:524,f:61,,
654,407,c:524,f:12,,
655,408,c:525,f:1080,,
656,408,c:525,f:148,,
657,409,c:526,f:840,,
658,410,c:526,f:51,,
659,410,c:526,f:268,,
660,410,c:526,f:148,,
661,410,c:526,f:269,,
662,410,c:526,f:519,,
663,410,c:526,f:840,,
664,412,c:520,f:270,,
665,412,c:520,f:83,,
666,413,c:531,f:18,,
667,413,c:531,f:248,,
668,413,c:531,f:271,,
669,415,c:533,f:274,,
670,415,c:533,f:17,,
671,415,c:533,f:276,,
672,416,c:534,f:134,,
673,417,c:535,f:4,,
674,418,c:536,f:277,,
675,419,c:536,f:277,,
676,419,c:536,f:41,,
677,419,c:536,f:17,,
678,419,c:536,f:91,,
679,420,c:537,f:278,,
680,421,c:537,f:17,,
681,421,c:537,f:279,,
682,421,c:537,f:280,,
683,423,c:538,f:137,,
684,423,c:538,f:48,,
685,423,c:538,f:41,,
686,425,c:540,f:281,,
687,426,c:48,f:39,,
688,427,c:49,f:61,,
689,427,c:49,f:13,,
690,428,c:50,f:26,,
691,429,c:50,f:26,,
692,429,c:50,f:2,,
693,430,c:51,f:86,,
694,431,c:543,f:139,,
695,432,c:543,f:139,,
696,433,c:544,f:248,,
697,434,c:768,f:26,,
698,434,c:768,f:1033,,
699,434,c:768,f:719,,
700,435,c:546,f:196,,
701,436,c:546,f:196,,
702,438,c:548,f:130,,
